budget,genres,homepage,popularity,production_companies,production_countries,runtime,spoken_languages,vote_average,vote_count,lang_english,year,holiday,revenue
55000000,3,0,48.307194,1,1,142,1,8.2,8147,1,1994,0,677945399
6000000,3,1,8.990345,3,1,117,1,6.6,654,1,1994,0,254700832
45000000,3,0,3.570874,2,1,123,2,5.3,41,1,1994,1,61947267
45000000,3,1,21.605761,2,1,89,1,8,5520,1,1994,1,788241776
35000000,2,0,5.681522,1,4,140,1,6,76,1,1993,1,4858139
14000000,4,0,9.860522,1,1,112,1,6.4,297,1,1994,1,18090181
23000000,4,0,14.13488,2,1,101,2,6.6,2550,1,1994,0,351583407
30000000,2,0,10.587232,1,1,83,1,6.4,535,1,1994,0,51132598
11500000,1,0,6.514592,2,1,99,1,6.5,180,1,1994,0,20079850
8000000,3,0,5.137903,2,1,98,1,6.4,71,1,1993,0,2000000
30000000,3,0,10.859292,1,1,116,1,6.8,1814,1,1994,1,350448145
27000000,4,0,8.907074,6,2,99,1,5.5,288,1,1994,0,101646581
115000000,2,0,11.396099,2,1,141,4,6.8,1138,1,1994,0,378882411
63000000,3,0,9.277147,4,1,191,1,6.5,203,1,1994,1,25052000
10000000,3,0,3.021526,2,1,100,1,6,31,1,1994,1,29392418
7000000,3,0,0.912909,0,1,119,1,5.9,9,1,1994,0,20851521
35000000,3,0,13.58449,2,2,102,2,4.1,330,1,1994,1,99423521
26000000,3,0,6.866634,4,3,99,1,4.5,110,1,1994,1,36800000
8000000,3,1,8.497643,1,1,95,1,7.1,307,1,1994,1,8946600
34000000,2,0,8.013617,1,1,139,2,7,172,1,1993,0,32255440
17080000,2,0,1.896273,6,1,107,1,5.1,42,1,1994,0,21011500
50000000,3,0,11.787784,2,1,104,1,5.5,445,1,1994,1,119208989
13000000,3,0,6.559693,3,1,87,1,5.8,102,1,1993,1,428868
22000000,2,0,6.115628,2,1,121,2,7.4,447,1,1993,0,17287898
13000000,2,1,1.316741,2,1,90,1,3.7,10,1,1993,0,2570145
30000000,4,0,8.698509,3,1,144,2,7.7,805,1,1993,1,36516012
70000000,3,0,9.830853,6,3,112,1,6.1,600,1,1993,1,255000211
40000000,4,0,14.228963,2,1,121,2,5.4,117,1,1994,0,19726050
6900000,2,0,6.8652,3,1,102,1,7.4,588,1,1993,0,7993039
57000000,3,1,11.626116,2,1,115,1,6.4,1018,1,1993,1,159055768
30000000,2,0,8.468869,2,1,94,1,5.7,77,1,1993,1,11146270
42000000,3,0,9.678367,3,1,154,1,6.6,513,1,1993,1,270248367
20000000,2,0,5.990572,5,2,112,1,6,429,1,1993,0,153698625
44000000,5,0,10.08937,1,1,130,1,7.2,1240,1,1993,0,368875760
35000000,4,0,4.653462,1,1,115,2,5.9,44,1,1993,1,18635620
18000000,4,0,7.834351,3,1,97,1,6.1,237,1,1993,0,74189677
25000000,3,0,13.482371,2,1,86,1,6.2,463,1,1993,1,133752825
40000000,5,0,12.637158,2,1,128,1,6.8,392,1,1993,0,176997168
13000000,1,0,7.405895,2,2,133,1,7.6,363,1,1993,1,65796862
63000000,2,1,8.863776,2,1,127,2,7.6,4956,1,1993,1,920100000
9000000,2,1,8.4337,2,1,117,1,6.5,209,1,1993,0,2395231
1500000,4,0,4.948569,1,2,96,2,6.1,111,1,1993,1,418961
85000000,5,0,9.434006,2,1,130,1,6.1,725,1,1993,1,137298489
13500000,2,0,8.939404,1,1,104,1,7.1,169,1,1993,0,11285588
3500000,3,0,5.260924,1,1,97,1,7.2,179,1,1993,1,27900000
55000000,4,0,13.106291,2,1,133,1,5.8,261,1,1996,0,121969216
25000000,3,0,11.16553,2,1,125,1,7,1638,1,1993,1,441286195
12000000,1,0,9.9697,1,1,107,1,4.8,202,1,1994,0,15826984
20000000,4,0,9.715187,4,1,118,1,6.1,86,1,1994,1,15340000
30000000,3,0,8.040589,2,1,138,1,7.2,376,1,1993,1,135130999
26000000,1,0,13.373006,2,1,125,1,7.6,1019,1,1993,1,206678440
7000000,2,0,7.436758,4,3,121,2,7.1,290,1,1993,1,116700000
14000000,2,1,6.972599,1,1,109,2,6.9,47,1,1993,0,27515786
11000000,1,0,5.868677,2,1,97,1,6.7,99,1,1994,0,11439193
11500000,2,0,12.222576,2,2,134,1,7.5,213,1,1993,1,23237911
40000000,2,0,4.985157,2,2,128,2,5.9,83,1,1994,1,24332324
22000000,5,0,8.685798,1,1,104,2,4.2,309,1,1993,1,10696210
20000000,1,0,17.136672,3,2,104,1,6.4,575,1,1993,0,35739755
11500000,4,0,9.796318,3,2,100,1,5.7,36,1,1993,0,3275585
800000,2,0,0.941994,2,1,114,1,5.6,10,1,1993,1,1001437
12000000,1,0,5.914833,1,1,114,2,7.2,187,1,1993,0,22750363
22000000,3,1,41.725123,2,1,195,4,8.3,4436,1,1993,1,321365567
13000000,4,0,5.305311,2,1,95,1,6.4,137,1,1994,1,7820688
25000000,5,0,7.881107,1,1,108,1,5.4,140,1,1994,0,48063435
21000000,3,0,10.234919,1,1,105,1,6.5,630,1,1993,1,227799884
40000000,2,0,11.23297,2,1,108,1,4.9,144,1,1993,1,116300000
28000000,3,1,96.272374,3,3,117,5,7.9,3833,1,1982,1,33139618
20000000,3,0,8.051914,1,1,93,2,6.1,131,1,1993,0,11585483
48000000,4,0,7.198455,5,2,104,1,4,236,1,1993,1,20915465
7400000,4,0,3.644641,1,1,96,1,6.1,53,1,1994,1,7690013
50000000,2,0,8.012225,4,1,102,1,5,82,1,1994,0,16478900
18000000,3,0,17.730913,3,1,76,1,7.6,2135,1,1993,1,75634409
30000000,3,1,6.34785,2,2,105,1,6.2,219,1,1993,1,53898845
25000000,5,0,11.338194,2,1,130,3,7.4,632,1,1993,1,56505065
12500000,4,0,17.189328,4,1,120,2,7.5,762,1,1993,0,12281551
27000000,4,0,7.436001,2,1,80,5,6.2,178,1,1994,1,13670688
18000000,2,1,0.702543,2,1,103,1,7.1,2487,1,1990,1,476684675
22000000,5,0,11.945397,1,1,127,1,6.9,1381,1,1990,0,505000000
28000000,6,1,16.357419,1,1,90,1,7.4,3495,1,1992,1,504050219
100000000,3,0,22.661695,5,2,137,2,7.7,4274,1,1991,0,520000000
22000000,3,0,11.654349,2,2,181,1,7.6,1084,1,1990,1,424208848
35000000,2,0,19.10673,3,2,126,2,7,2145,1,1989,1,411348924
19000000,3,0,4.307222,2,1,119,1,8.1,4549,1,1991,0,272742922
1488423,3,1,16.263878,1,1,83,1,6.9,1973,1,1937,1,184925486
25000000,5,1,23.433511,3,1,84,2,7.5,3029,1,1991,1,377350553
2600000,2,0,14.202284,2,1,88,1,6.9,1412,1,1940,0,84300000
14000000,2,0,13.348451,2,1,119,3,7,1807,1,1990,0,463000000
6244087,2,0,11.722424,1,1,145,3,7.7,266,1,1969,1,638641
7000000,3,1,12.61469,2,1,98,1,7.7,2080,1,1996,1,60611975
4000000,3,0,5.263187,3,1,86,1,4.9,111,1,1996,0,16675000
4000000,4,0,9.834047,1,1,78,1,7.1,1287,1,1970,1,55675257
30000000,4,0,10.326213,1,1,129,2,7.4,644,1,1996,1,102616183
12000000,1,0,4.405169,2,1,108,1,5.7,17,1,1996,0,4939939
46000000,4,0,11.595316,2,1,117,1,6.2,240,1,1996,0,100860818
80000000,3,1,15.793477,2,1,110,3,6.7,2677,1,1996,1,457696359
57000000,1,0,23.63659,1,1,103,1,6.4,553,1,1996,1,115267375
38000000,3,1,13.217623,2,1,79,1,6.2,375,1,1996,1,28921264
13000000,3,0,1.296862,2,1,91,1,4.8,4,1,1996,1,9789900
80000000,5,1,11.054251,3,1,88,1,6.5,1335,1,1996,1,250200000
9000000,1,0,14.304205,3,1,98,1,5.7,149,1,1968,1,2500000
25000000,3,0,9.1861,1,1,105,1,5.5,26,1,1996,1,10070000
30000000,2,0,7.941972,4,2,95,1,5.3,126,1,1996,1,57400547
31000000,3,0,10.813579,2,1,74,1,6.5,372,1,1988,1,74151346
25530000,2,0,4.557006,3,1,95,1,5.3,85,1,1996,1,20080020
35000000,4,0,1.690768,3,1,135,2,6.7,25,1,1995,0,15000000
15000000,4,0,12.860385,1,1,101,1,6.3,388,1,1996,1,24769466
4800000,4,0,0.343579,1,1,99,2,5.5,5,1,1996,1,3014000
75000000,3,0,13.249824,2,1,136,1,6.9,1474,1,1996,1,335062621
92000000,3,0,8.739144,4,1,113,1,6.1,966,1,1996,1,494471524
25000000,4,0,6.497591,3,2,115,1,6.1,200,1,1996,1,14048372
1800000,3,0,9.80398,2,2,95,1,8,1472,1,1964,0,9440272
45000000,2,0,8.079541,3,2,100,1,4.7,138,1,1996,1,17300889
50000000,3,0,11.341502,2,1,115,1,4.4,210,1,1996,1,113309743
45000000,3,0,6.287245,3,1,113,1,5.9,340,1,1996,0,58620973
4000000,2,1,19.348466,5,1,93,1,7.8,2737,1,1996,0,16491080
75000000,3,0,17.634197,2,1,145,1,6.7,3334,1,1996,1,816969268
55000000,3,0,12.202063,2,1,116,1,5.7,202,1,1996,0,18626419
100000000,3,0,13.553999,1,1,91,2,6.8,1182,1,1996,1,100138851
47000000,3,0,7.586577,1,1,96,1,5.7,603,1,1996,1,102825796
27000000,1,0,11.633347,2,1,113,1,6.7,248,1,1996,0,25023434
100000000,4,1,6.919314,2,2,115,1,5.6,553,1,1996,1,242295562
